onset	offset	word	voice	file	interval_no	tag1	tagger	autobi
0.0	0.0	.	slt	arctic_a0001_slt	0		0	0
0.0	0.18075	.	slt	arctic_a0001_slt	1		0	0
0.18075	0.61825001	Author	slt	arctic_a0001_slt	2	[1.129349]	1	1
0.61825001	0.76824999	of	slt	arctic_a0001_slt	3	[0.280543]	0	0
0.76824999	0.85575002	the	slt	arctic_a0001_slt	4	[0.09795]	0	0
0.85575002	1.2244999	danger	slt	arctic_a0001_slt	5	[0.538455, 0.132373]	1	5
1.2244999	1.6619999	trail	slt	arctic_a0001_slt	6	[0.31102]	1	3
1.6619999	1.68075	.	slt	arctic_a0001_slt	7		0	0
1.68075	2.0432501	Philip	slt	arctic_a0001_slt	8	[0.061487, 0.101498]	0	1
2.0432501	2.59325	Steels	slt	arctic_a0001_slt	9	[0.346994]	1	3
2.59325	2.6307499	.	slt	arctic_a0001_slt	10	[0.021521]	0	0
2.6307499	3.1494999	etc	slt	arctic_a0001_slt	11	[0.021521, 0.264693, 0.366311, 0.101969]	1	6
3.1494999	0.0	.	slt	arctic_a0001_slt	12		0	0
0.0	0.19325	.	slt	arctic_a0002_slt	0		0	0
0.19325	0.49950001	Not	slt	arctic_a0002_slt	1		0	1
0.49950001	0.60575002	at	slt	arctic_a0002_slt	2	[0.302677]	0	0
0.60575002	0.83700001	this	slt	arctic_a0002_slt	3	[0.191264]	0	0
0.83700001	1.36825	particular	slt	arctic_a0002_slt	4	[0.053702, 0.083411, 0.063203, 0.119394]	1	1
1.36825	1.837	case	slt	arctic_a0002_slt	5	[0.339881]	1	1
1.837	1.8807499	.	slt	arctic_a0002_slt	6		0	0
1.8807499	2.2995	Tom	slt	arctic_a0002_slt	7	[0.498376]	1	3
2.2995	2.3557501	.	slt	arctic_a0002_slt	8		0	0
2.3557501	3.0120001	apologized	slt	arctic_a0002_slt	9	[0.051129, 0.067285, 0.042715, 0.22891]	1	3
3.0120001	3.58075	Whittemore	slt	arctic_a0002_slt	10	[0.088811, 0.239362]	1	1
3.58075	0.0	.	slt	arctic_a0002_slt	11		0	0
0.0	0.13699999	.	slt	arctic_a0003_slt	0		0	0
0.13699999	0.24325	For	slt	arctic_a0003_slt	1		0	0
0.24325	0.36199999	the	slt	arctic_a0003_slt	2	[0.148492]	0	0
0.36199999	0.81825	twentieth	slt	arctic_a0003_slt	3	[0.358018, 0.150897, 0.124844]	1	1
0.81825	1.1495	time	slt	arctic_a0003_slt	4	[0.917807]	1	1
1.1495	1.3182499	that	slt	arctic_a0003_slt	5	[0.393716]	0	0
1.3182499	1.7495	evening	slt	arctic_a0003_slt	6	[0.443717, 0.122707]	1	3
1.7495	1.812	the	slt	arctic_a0003_slt	7	[0.038155]	0	0
1.812	2.0682499	two	slt	arctic_a0003_slt	8	[0.172362]	0	0
2.0682499	2.33075	men	slt	arctic_a0003_slt	9	[0.319518]	1	0
2.33075	2.6182499	shook	slt	arctic_a0003_slt	10	[0.142363]	0	0
2.6182499	3.1370001	hands	slt	arctic_a0003_slt	11	[0.456567]	1	3
3.1370001	0.0	.	slt	arctic_a0003_slt	12		0	0
0.0	0.212	.	slt	arctic_a0004_slt	0		0	0
0.212	0.61199999	Lord	slt	arctic_a0004_slt	1		0	1
0.61199999	0.76824999	but	slt	arctic_a0004_slt	2	[0.441489]	0	0
0.76824999	0.88700002	I'm	slt	arctic_a0004_slt	3	[0.199524]	0	0
0.88700002	1.1307499	glad	slt	arctic_a0004_slt	4	[0.9]	1	0
1.1307499	1.23075	to	slt	arctic_a0004_slt	5	[0.203746]	0	0
