todd	word	voice	batch	file	interval_no	onset	offset	tag1	tagger	mallory	joe	david
0	.	rms	A	arctic_a0001_rms	0	0.0	0.102		0	0	0	0
2	Author	rms	A	arctic_a0001_rms	1	0.102	0.48199999	[0.901691, 0.700223]	1	1	1	1
0	of	rms	A	arctic_a0001_rms	2	0.48199999	0.542	[0.04185]	0	0	0	0
0	the	rms	A	arctic_a0001_rms	3	0.542	0.65200001	[0.102958]	0	0	0	0
2	danger	rms	A	arctic_a0001_rms	4	0.65200001	1.012	[0.102958, 0.548862, 0.132463]	1	0	1	2
1	trail	rms	A	arctic_a0001_rms	5	1.012	1.432	[0.424928]	1	0	0	1
2	Philip	rms	A	arctic_a0001_rms	6	1.432	1.802	[0.021056, 0.03891]	0	1	0	0
1	Steels	rms	A	arctic_a0001_rms	7	1.802	2.342	[0.491149]	1	1	1	2
0	etc	rms	A	arctic_a0001_rms	8	2.342	2.812	[0.056828, 0.192636, 0.26608, 0.092067]	1	0	0	1
0	.	rms	A	arctic_a0001_rms	9	2.812	0.0		0	0	0	0
0	.	slt	A	arctic_a0001_slt	0	0.0	0.0		0	0	0	0
0	.	slt	A	arctic_a0001_slt	1	0.0	0.18075		0	0	0	0
1	Author	slt	A	arctic_a0001_slt	2	0.18075	0.61825001	[0.906274, 1.129349]	1	1	2	1
0	of	slt	A	arctic_a0001_slt	3	0.61825001	0.76824999	[0.280543]	0	0	0	0
0	the	slt	A	arctic_a0001_slt	4	0.76824999	0.85575002	[0.09795]	0	0	0	0
2	danger	slt	A	arctic_a0001_slt	5	0.85575002	1.2244999	[0.538455, 0.132373]	1	1	1	2
1	trail	slt	A	arctic_a0001_slt	6	1.2244999	1.6619999	[0.31102]	1	1	1	1
0	.	slt	A	arctic_a0001_slt	7	1.6619999	1.68075		0	0	0	0
2	Philip	slt	A	arctic_a0001_slt	8	1.68075	2.0432501	[0.061487, 0.101498]	0	1	0	0
1	Steels	slt	A	arctic_a0001_slt	9	2.0432501	2.59325	[0.346994]	1	1	0	2
0	.	slt	A	arctic_a0001_slt	10	2.59325	2.6307499	[0.021521]	0	0	0	0
