onset	offset	word	file	interval_no	tag1	tagger
0	0.064999998	0	amidsummernightsdream_02_11	0		0
0.064999998	0.745	Lysander	amidsummernightsdream_02_11	1	[1.3, 0.472052, 0.156685]	1
0.745	0	0	amidsummernightsdream_02_11	2		0
0	0	0	amidsummernightsdream_02_11	3		0
0	1.21	0	amidsummernightsdream_02_11	4		0
1.21	1.355	in	amidsummernightsdream_02_11	5	[0.28891]	0
1.355	1.58	love	amidsummernightsdream_02_11	6	[0.377256]	1
1.58	1.6950001	with	amidsummernightsdream_02_11	7	[0.06364199999999999]	0
1.6950001	2.1900001	Hermia	amidsummernightsdream_02_11	8	[0.848297, 0.146973, 0.152642]	1
2.1900001	2.405	0	amidsummernightsdream_02_11	9		0
2.405	2.5899999	but	amidsummernightsdream_02_11	10	[0.021129]	0
2.5899999	3.175	enchanted	amidsummernightsdream_02_11	11	[0.113334, 0.777245, 0.08631599999999999]	1
3.175	3.1900001	0	amidsummernightsdream_02_11	12		0
3.1900001	3.2850001	to	amidsummernightsdream_02_11	13	[0.017621]	0
3.2850001	3.53	fall	amidsummernightsdream_02_11	14	[0.5038819999999999]	1
3.53	3.6500001	in	amidsummernightsdream_02_11	15	[0.128056]	0
3.6500001	3.8399999	love	amidsummernightsdream_02_11	16	[0.494291]	1
3.8399999	3.9549999	with	amidsummernightsdream_02_11	17	[0.048117]	0
3.9549999	4.4099998	Helena	amidsummernightsdream_02_11	18	[0.496428, 0.068148, 0.144144]	1
4.4099998	0	0	amidsummernightsdream_02_11	19		0
0	0.025	0	amidsummernightsdream_02_13	0		0
0.025	0.81	Demetrius	amidsummernightsdream_02_13	1	[0.09106, 0.431909, 0.078575, 0.112302]	1
0.81	0	0	amidsummernightsdream_02_13	2		0
0	1.21	0	amidsummernightsdream_02_13	3		0
1.21	1.615	also	amidsummernightsdream_02_13	4	[0.104425, 0.174466, 0.01327]	1
1.615	1.65	in	amidsummernightsdream_02_13	5	[0.01327]	0
1.65	1.845	love	amidsummernightsdream_02_13	6	[0.137451]	1
1.845	1.86	0	amidsummernightsdream_02_13	7		0
1.86	1.995	with	amidsummernightsdream_02_13	8	[0.075185]	0
1.995	2.45	Hermia	amidsummernightsdream_02_13	9	[0.274459, 0.149223, 0.169558]	1
2.45	0	0	amidsummernightsdream_02_13	10		0
0	2.77	0	amidsummernightsdream_02_13	11		0
2.77	2.875	and	amidsummernightsdream_02_13	12	[0.083583]	0
2.875	3.4100001	enchanted	amidsummernightsdream_02_13	13	[0.127668, 1.3, 0.045142]	1
3.4100001	3.425	0	amidsummernightsdream_02_13	14		0
3.425	3.4949999	to	amidsummernightsdream_02_13	15	[0.05673200000000001]	0
3.4949999	3.7049999	fall	amidsummernightsdream_02_13	16	[0.192459]	1
3.7049999	3.8399999	in	amidsummernightsdream_02_13	17	[0.111354]	0
3.8399999	4.02	love	amidsummernightsdream_02_13	18	[0.114874]	0
4.02	4.0300002	0	amidsummernightsdream_02_13	19		0
4.0300002	4.1399999	with	amidsummernightsdream_02_13	20	[0.031151]	0
4.1399999	4.5900002	Helena	amidsummernightsdream_02_13	21	[0.100746, 0.045667, 0.103816]	1
4.5900002	0	0	amidsummernightsdream_02_13	22		0
0	0	0	amidsummernightsdream_02_15	0		0
0	0.055	0	amidsummernightsdream_02_15	1		0
0.055	0.48500001	Helena	amidsummernightsdream_02_15	2	[0.67406, 0.205987, 0.30790300000000004]	1
0.48500001	0	0	amidsummernightsdream_02_15	3		0
0	0	0	amidsummernightsdream_02_15	4		0
0	1.2	0	amidsummernightsdream_02_15	5		0
1.2	1.65	Hermia's	amidsummernightsdream_02_15	6	[0.904246, 0.473721, 0.047995]	1
1.65	2.01	best	amidsummernightsdream_02_15	7	[0.917487]	1
2.01	2.48	friend	amidsummernightsdream_02_15	8	[0.221385]	0
2.48	0	0	amidsummernightsdream_02_15	9		0
0	2.8	0	amidsummernightsdream_02_15	10		0
2.8	2.9400001	in	amidsummernightsdream_02_15	11	[0.571142]	0
2.9400001	3.22	love	amidsummernightsdream_02_15	12	[1.04145]	1
3.22	3.2550001	0	amidsummernightsdream_02_15	13		0
3.2550001	3.375	with	amidsummernightsdream_02_15	14	[0.084299]	0
3.375	4.1500001	Demetrius	amidsummernightsdream_02_15	15	[0.107668, 0.28442, 0.238272, 0.039544]	1
4.1500001	0	0	amidsummernightsdream_02_15	16		0
0	0.02	0	amidsummernightsdream_02_17	0		0
0.02	0.57999998	Oberon	amidsummernightsdream_02_17	1	[0.9, 0.020372, 0.128233]	1
0.57999998	0	0	amidsummernightsdream_02_17	2		0
0	0	0	amidsummernightsdream_02_17	3		0
0	1.105	0	amidsummernightsdream_02_17	4		0
1.105	1.355	king	amidsummernightsdream_02_17	5	[0.281124]	1
1.355	1.4450001	of	amidsummernightsdream_02_17	6	[0.077649]	0
1.4450001	1.465	0	amidsummernightsdream_02_17	7		0
1.465	1.54	the	amidsummernightsdream_02_17	8	[0.02737]	0
1.54	2.1600001	fairies	amidsummernightsdream_02_17	9	[0.02737, 0.50805, 0.165977]	1
2.1600001	0	0	amidsummernightsdream_02_17	10		0
0	2.49	0	amidsummernightsdream_02_17	11		0
2.49	2.8599999	married	amidsummernightsdream_02_17	12	[0.448948, 0.150575]	1
2.8599999	2.9849999	to	amidsummernightsdream_02_17	13	[0.237725]	0
2.9849999	3.5599999	Titania	amidsummernightsdream_02_17	14	[0.237725, 0.280681, 0.007231, 0.178382, 0.056877]	1
3.5599999	0	0	amidsummernightsdream_02_17	15		0
0	0.039999999	0	amidsummernightsdream_02_19	0		0
0.039999999	0.685	Titania	amidsummernightsdream_02_19	1	[1.287927, 0.010977, 0.123093, 0.163503]	1
0.685	0	0	amidsummernightsdream_02_19	2		0
0	0.97500002	0	amidsummernightsdream_02_19	3		0
0.97500002	1.26	queen	amidsummernightsdream_02_19	4	[0.719739]	1
1.26	1.37	of	amidsummernightsdream_02_19	5	[0.09733]	0
1.37	1.47	the	amidsummernightsdream_02_19	6	[0.012377]	0
1.47	2.0999999	fairies	amidsummernightsdream_02_19	7	[0.012377, 0.22118, 0.06566699999999999]	1
2.0999999	0	0	amidsummernightsdream_02_19	8		0
0	0.025	0	amidsummernightsdream_02_21	0		0
0.025	0.40000001	Puck	amidsummernightsdream_02_21	1	[0.8930610000000001]	1
0.40000001	0	0	amidsummernightsdream_02_21	2		0
0	0	0	amidsummernightsdream_02_21	3		0
0	0.72000003	0	amidsummernightsdream_02_21	4		0
0.72000003	0.78500003	the	amidsummernightsdream_02_21	5	[0.037108]	0
0.78500003	1.16	fairy	amidsummernightsdream_02_21	6	[0.037108, 0.9, 0.123451]	1
1.16	1.325	who	amidsummernightsdream_02_21	7	[0.442613]	1
1.325	1.885	enchants	amidsummernightsdream_02_21	8	[0.073287, 1.001976]	1
1.885	2.3299999	Lysander	amidsummernightsdream_02_21	9	[0.246243, 0.2571, 0.4206220000000001]	1
2.3299999	2.345	0	amidsummernightsdream_02_21	10		0
2.345	2.5050001	and	amidsummernightsdream_02_21	11	[0.07700900000000001]	0
2.5050001	3.2650001	Demetrius	amidsummernightsdream_02_21	12	[0.027260000000000003, 0.131632, 0.1919, 0.052652]	1
3.2650001	0	0	amidsummernightsdream_02_21	13		0
0	0.07	0	amidsummernightsdream_02_23	0		0
0.07	0.36500001	Peter	amidsummernightsdream_02_23	1	[0.9, 0.318777]	1
0.36500001	0.88499999	Quince	amidsummernightsdream_02_23	2	[0.323209]	0
0.88499999	0	0	amidsummernightsdream_02_23	3		0
0	0	0	amidsummernightsdream_02_23	4		0
0	1.285	0	amidsummernightsdream_02_23	5		0
1.285	1.385	who	amidsummernightsdream_02_23	6	[0.348077]	1
1.385	1.505	is	amidsummernightsdream_02_23	7	[0.303083]	1
1.505	1.84	putting	amidsummernightsdream_02_23	8	[0.280237, 0.399994]	1
1.84	1.9349999	on	amidsummernightsdream_02_23	9	[0.443266]	1
1.9349999	1.98	a	amidsummernightsdream_02_23	10	[0.237936]	0
1.98	2.385	play	amidsummernightsdream_02_23	11	[0.854353]	1
2.385	0	0	amidsummernightsdream_02_23	12		0
0	2.5050001	0	amidsummernightsdream_02_23	13		0
2.5050001	2.5699999	for	amidsummernightsdream_02_23	14	[0.094998]	0
2.5699999	3.25	Theseus	amidsummernightsdream_02_23	15	[0.835307, 0.377843, 0.063196]	1
3.25	0	0	amidsummernightsdream_02_23	16		0
0	3.395	0	amidsummernightsdream_02_23	17		0
3.395	3.4549999	the	amidsummernightsdream_02_23	18	[0.318129]	1
3.4549999	3.8499999	Duke	amidsummernightsdream_02_23	19	[0.318129, 0.035195]	1
3.8499999	0	0	amidsummernightsdream_02_23	20		0
0	0.02	0	amidsummernightsdream_02_25	0		0
0.02	0.44999999	Bottom	amidsummernightsdream_02_25	1	[1.3, 0.052677]	1
0.44999999	0	0	amidsummernightsdream_02_25	2		0
0	0	0	amidsummernightsdream_02_25	3		0
0	0.94	0	amidsummernightsdream_02_25	4		0
0.94	1.02	who	amidsummernightsdream_02_25	5	[0.485311]	1
1.02	1.275	plays	amidsummernightsdream_02_25	6	[0.446331]	1
1.275	1.86	Pyramus	amidsummernightsdream_02_25	7	[0.15578399999999998, 0.030815, 0.161929]	1
1.86	0	0	amidsummernightsdream_02_25	8		0
0	2.0050001	0	amidsummernightsdream_02_25	9		0
2.0050001	2.02	a	amidsummernightsdream_02_25	10	[0.037956]	0
2.02	2.2950001	young	amidsummernightsdream_02_25	11	[0.037956, 0.5581149999999999]	1
2.2950001	2.625	man	amidsummernightsdream_02_25	12	[0.353189]	0
2.625	0	0	amidsummernightsdream_02_25	13		0
0	0.02	0	amidsummernightsdream_02_27	0		0
0.02	0.48500001	Flute	amidsummernightsdream_02_27	1	[0.6456850000000001]	1
0.48500001	0	0	amidsummernightsdream_02_27	2		0
0	0	0	amidsummernightsdream_02_27	3		0
0	0.83499998	0	amidsummernightsdream_02_27	4		0
0.83499998	0.91000003	who	amidsummernightsdream_02_27	5	[0.155899]	0
0.91000003	1.29	plays	amidsummernightsdream_02_27	6	[0.802657]	1
1.29	1.845	Thisbe	amidsummernightsdream_02_27	7	[0.52983, 0.419574]	1
1.845	0	0	amidsummernightsdream_02_27	8		0
0	2.2149999	0	amidsummernightsdream_02_27	9		0
2.2149999	2.26	a	amidsummernightsdream_02_27	10	[0.290773]	0
2.26	2.5599999	young	amidsummernightsdream_02_27	11	[0.937358]	1
2.5599999	2.8099999	girl	amidsummernightsdream_02_27	12	[0.952312]	1
2.8099999	2.825	0	amidsummernightsdream_02_27	13		0
2.825	2.95	in	amidsummernightsdream_02_27	14	[0.059381]	0
2.95	3.1800001	love	amidsummernightsdream_02_27	15	[1.197971]	1
3.1800001	3.1949999	0	amidsummernightsdream_02_27	16		0
3.1949999	3.3099999	with	amidsummernightsdream_02_27	17	[0.076912]	0
3.3099999	3.9200001	Pyramus	amidsummernightsdream_02_27	18	[0.098703, 0.019799, 0.12875]	1
3.9200001	0	0	amidsummernightsdream_02_27	19		0
0	0.02	0	amidsummernightsdream_02_29	0		0
0.02	0.45500001	Snug	amidsummernightsdream_02_29	1	[1.2994629999999998]	1
0.45500001	0	0	amidsummernightsdream_02_29	2		0
0	0	0	amidsummernightsdream_02_29	3		0
0	0.83999997	0	amidsummernightsdream_02_29	4		0
0.83999997	0.92000002	who	amidsummernightsdream_02_29	5	[0.407332]	0
0.92000002	1.295	plays	amidsummernightsdream_02_29	6	[0.792048, 0.025128]	1
1.295	1.3099999	a	amidsummernightsdream_02_29	7	[0.025128]	0
1.3099999	1.75	lion	amidsummernightsdream_02_29	8	[0.025128, 0.880885, 0.026268]	1
1.75	0	0	amidsummernightsdream_02_29	9		0
0	0.015	0	amidsummernightsdream_02_3	0		0
