david	word	voice	batch	file	interval_no	onset	offset	tag1	tagger	joe	todd	mallory
0	.	rms	B	arctic_a0101_rms	0	0.0	0.082000002		0	0	0	0
2	You	rms	B	arctic_a0101_rms	1	0.082000002	0.542		0	2	1	3
0	you	rms	B	arctic_a0101_rms	2	0.542	0.74199998	[0.087913]	0	0	0	1
0	would	rms	B	arctic_a0101_rms	3	0.74199998	0.87199998	[0.087913, 0.314404]	0	0	0	0
2	not	rms	B	arctic_a0101_rms	4	0.87199998	1.122	[0.660553]	1	2	0	0
0	keep	rms	B	arctic_a0101_rms	5	1.122	1.392	[0.558885]	0	0	1	0
0	the	rms	B	arctic_a0101_rms	6	1.392	1.492	[0.09572]	0	0	0	0
2	truth	rms	B	arctic_a0101_rms	7	1.492	1.852	[0.09572, 0.200659]	1	1	2	1
0	from	rms	B	arctic_a0101_rms	8	1.852	2.072	[0.130714]	0	0	0	1
1	me	rms	B	arctic_a0101_rms	9	2.072	2.4119999	[0.508989]	1	0	2	1
0	.	rms	B	arctic_a0101_rms	10	2.4119999	0.0		0	0	0	0
0	.	slt	B	arctic_a0101_slt	0	0.0	0.18700001		0	0	0	0
2	You	slt	B	arctic_a0101_slt	1	0.18700001	0.65574998		0	2	2	3
0	you	slt	B	arctic_a0101_slt	2	0.65574998	0.91825002	[0.188082]	0	0	0	1
0	would	slt	B	arctic_a0101_slt	3	0.91825002	1.112	[0.269814]	0	0	0	0
1	not	slt	B	arctic_a0101_slt	4	1.112	1.362	[0.665047]	1	2	1	0
1	keep	slt	B	arctic_a0101_slt	5	1.362	1.6619999	[0.296143]	0	0	0	1
0	the	slt	B	arctic_a0101_slt	6	1.6619999	1.737	[0.115851]	0	0	0	0
2	truth	slt	B	arctic_a0101_slt	7	1.737	1.987	[0.154913]	1	0	2	1
0	from	slt	B	arctic_a0101_slt	8	1.987	2.2869999	[0.049266]	0	0	0	0
1	me	slt	B	arctic_a0101_slt	9	2.2869999	2.5682499	[0.49778]	1	0	2	0
0	.	slt	B	arctic_a0101_slt	10	2.5682499	0.0		0	0	0	0
0	.	rms	B	arctic_a0102_rms	0	0.0	0.061999999		0	0	0	0
0	He	rms	B	arctic_a0102_rms	1	0.061999999	0.192		0	0	0	0
0	will	rms	B	arctic_a0102_rms	2	0.192	0.36199999	[0.035346]	0	0	0	0
2	follow	rms	B	arctic_a0102_rms	3	0.36199999	0.76200002	[0.035346, 0.812784, 0.9]	2	2	2	2
0	us	rms	B	arctic_a0102_rms	4	0.76200002	1.012	[0.275983]	0	0	0	1
2	soon	rms	B	arctic_a0102_rms	5	1.012	1.572	[0.883958]	1	1	2	1
0	.	rms	B	arctic_a0102_rms	6	1.572	0.0		0	0	0	0
0	.	slt	B	arctic_a0102_slt	0	0.0	0.1245		0	0	0	0
0	He	slt	B	arctic_a0102_slt	1	0.1245	0.28075001		0	0	0	0
0	will	slt	B	arctic_a0102_slt	2	0.28075001	0.43700001	[0.140416]	0	0	0	0
2	follow	slt	B	arctic_a0102_slt	3	0.43700001	0.88075	[0.961717, 0.241801]	1	2	2	2
0	us	slt	B	arctic_a0102_slt	4	0.88075	1.15575	[0.175087]	0	0	0	0
2	soon	slt	B	arctic_a0102_slt	5	1.15575	1.54325	[0.281378]	1	1	1	1
0	.	slt	B	arctic_a0102_slt	6	1.54325	0.0		0	0	0	0
0	.	rms	B	arctic_a0103_rms	0	0.0	0.082000002		0	0	0	0
0	But	rms	B	arctic_a0103_rms	1	0.082000002	0.27200001		0	0	0	0
0	there	rms	B	arctic_a0103_rms	2	0.27200001	0.39199999	[0.137545]	0	0	0	0
1	came	rms	B	arctic_a0103_rms	3	0.39199999	0.73199999	[0.422499]	1	1	1	0
0	no	rms	B	arctic_a0103_rms	4	0.73199999	0.86199999	[0.183384]	0	0	0	0
2	promise	rms	B	arctic_a0103_rms	5	0.86199999	1.442	[0.264633, 0.060249]	1	1	3	2
0	from	rms	B	arctic_a0103_rms	6	1.442	1.652	[0.031004]	0	0	0	1
0	the	rms	B	arctic_a0103_rms	7	1.652	1.712	[0.069981]	0	0	0	0
2	bow	rms	B	arctic_a0103_rms	8	1.712	2.122	[0.911059]	1	2	2	2
0	of	rms	B	arctic_a0103_rms	9	2.122	2.2920001	[0.057744]	0	0	0	1
0	the	rms	B	arctic_a0103_rms	10	2.2920001	2.382	[0.067555]	0	0	0	0
2	canoe	rms	B	arctic_a0103_rms	11	2.382	2.872	[0.067555, 0.070274, 0.164304]	1	0	2	1
0	.	rms	B	arctic_a0103_rms	12	2.872	0.0		0	0	0	0
0	.	slt	B	arctic_a0103_slt	0	0.0	0.0		0	0	0	0
0	.	slt	B	arctic_a0103_slt	1	0.0	0.18075		0	0	0	0
0	But	slt	B	arctic_a0103_slt	2	0.18075	0.34325001		0	1	0	0
0	there	slt	B	arctic_a0103_slt	3	0.34325001	0.49950001	[0.118135]	0	0	0	0
1	came	slt	B	arctic_a0103_slt	4	0.49950001	0.83700001	[0.679145]	1	2	1	0
0	no	slt	B	arctic_a0103_slt	5	0.83700001	0.98699999	[0.206112]	0	0	0	1
2	promise	slt	B	arctic_a0103_slt	6	0.98699999	1.45575	[0.291928, 0.235249]	1	1	2	2
0	from	slt	B	arctic_a0103_slt	7	1.45575	1.61825	[0.028848]	0	0	0	0
0	the	slt	B	arctic_a0103_slt	8	1.61825	1.6932499	[0.058873]	0	0	0	0
2	bow	slt	B	arctic_a0103_slt	9	1.6932499	2.03075	[0.932057, 0.02271]	1	1	2	3
0	of	slt	B	arctic_a0103_slt	10	2.03075	2.112	[0.02271]	0	0	0	0
0	the	slt	B	arctic_a0103_slt	11	2.112	2.2119999	[0.042724]	0	0	0	0
2	canoe	slt	B	arctic_a0103_slt	12	2.2119999	2.737	[0.022392, 0.361175]	1	0	2	1
0	.	slt	B	arctic_a0103_slt	13	2.737	0.0		0	0	0	0
0	.	rms	B	arctic_a0104_rms	0	0.0	0.071999997		0	0	0	0
0	She	rms	B	arctic_a0104_rms	1	0.071999997	0.322		0	0	0	1
0	was	rms	B	arctic_a0104_rms	2	0.322	0.49200001	[0.21146]	0	0	0	1
2	sleeping	rms	B	arctic_a0104_rms	3	0.49200001	0.99199998	[0.507981, 0.175385]	1	2	3	1
0	under	rms	B	arctic_a0104_rms	4	0.99199998	1.232	[0.389131, 0.21239]	1	0	0	0
0	his	rms	B	arctic_a0104_rms	5	1.232	1.442	[0.35892]	1	0	0	0
2	protection	rms	B	arctic_a0104_rms	6	1.442	2.102	[0.022374, 0.304932, 0.116775]	1	2	3	2
0	as	rms	B	arctic_a0104_rms	7	2.102	2.322	[0.530705]	1	0	0	0
2	sweetly	rms	B	arctic_a0104_rms	8	2.322	2.822	[0.448077, 0.401573]	2	2	1	1
0	as	rms	B	arctic_a0104_rms	9	2.822	3.0220001	[0.406465]	1	0	0	0
0	a	rms	B	arctic_a0104_rms	10	3.0220001	3.052	[0.109689]	0	0	0	0
2	child	rms	B	arctic_a0104_rms	11	3.052	3.642	[0.109689, 0.994756]	1	1	2	0
0	.	rms	B	arctic_a0104_rms	12	3.642	0.0		0	0	0	0
0	.	slt	B	arctic_a0104_slt	0	0.0	0.1495		0	0	0	0
0	She	slt	B	arctic_a0104_slt	1	0.1495	0.3495		0	0	0	0
0	was	slt	B	arctic_a0104_slt	2	0.3495	0.48074999	[0.124279]	0	0	0	0
1	sleeping	slt	B	arctic_a0104_slt	3	0.48074999	0.94325	[0.279878, 0.397992]	1	1	2	2
0	under	slt	B	arctic_a0104_slt	4	0.94325	1.1495	[0.286404, 0.223744]	0	0	0	0
0	his	slt	B	arctic_a0104_slt	5	1.1495	1.3182499	[0.164216]	0	0	0	0
2	protection	slt	B	arctic_a0104_slt	6	1.3182499	1.86825	[0.107638, 0.464905, 0.044312]	1	2	2	3
0	as	slt	B	arctic_a0104_slt	7	1.86825	1.9495	[0.114229]	0	0	0	0
1	sweetly	slt	B	arctic_a0104_slt	8	1.9495	2.4619999	[0.494101, 0.225283]	1	1	1	1
0	as	slt	B	arctic_a0104_slt	9	2.4619999	2.6370001	[0.282486]	1	0	0	1
0	a	slt	B	arctic_a0104_slt	10	2.6370001	2.6745	[0.10029]	0	0	0	1
2	child	slt	B	arctic_a0104_slt	11	2.6745	3.3057499	[0.900963]	1	1	2	1
0	.	slt	B	arctic_a0104_slt	12	3.3057499	0.0		0	0	0	0
0	.	rms	B	arctic_a0105_rms	0	0.0	0.112		0	0	0	0
0	Only	rms	B	arctic_a0105_rms	1	0.112	0.61199999	[0.770038]	1	1	2	0
0	it	rms	B	arctic_a0105_rms	2	0.61199999	0.77200001	[0.4072]	0	0	0	0
0	is	rms	B	arctic_a0105_rms	3	0.77200001	0.852	[0.454896]	0	0	0	0
2	so	rms	B	arctic_a0105_rms	4	0.852	1.072	[0.796827]	1	2	1	0
